REALPROP,FSNETINC,TANF_IND,RAWERND,FSTOTDE2,SHELDED,FSTOTDED,FSSLTDE2,FSGA,FSWAGES,LIQRESOR,FSERNDE2,FSDIS,HWGT,FSSLTDED,FSASSET,CERTHHSZ,FSSSI,FSNELDER,WRK_POOR,FSERNDED,FSTANF,FSUNEARN,RAWNET,TPOV,FSUSIZE,FSEARN,FSSTDDE2,FSNONCIT,FSGRINC,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,1242.0,0.0,171.0,304.0,0.0,304.0,0.0,0.0,854.0,0.0,170.0,1.0,1109.9305576091976,0.0,0.0,3.0,0.0,0.0,1.0,170.0,0.0,692.0,1241.0,112.0,3.0,854.0,134.0,0.0,1546.0,0.0,0.0,1.0
0.0,393.0,0.0,0.0,264.0,130.0,264.0,130.0,0.0,0.0,0.0,0.0,0.0,839.8897475593062,130.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,657.0,393.0,80.0,1.0,0.0,201.0,0.0,657.0,0.0,0.0,1.0
0.0,0.0,0.0,120.0,602.0,417.0,758.0,261.0,0.0,602.0,0.0,0.0,0.0,747.7609155795811,417.0,0.0,6.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,27.0,6.0,602.0,30.0,0.0,602.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,147.0,417.0,551.0,13.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,417.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,13.0,2.0,0.0,0.0,0.0,147.0,0.0,0.0,1.0
0.0,790.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,962.9561307354808,0.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,924.0,790.0,84.0,2.0,0.0,134.0,0.0,924.0,1.0,0.0,1.0
0.0,188.0,0.0,0.0,226.0,92.0,226.0,92.0,0.0,0.0,267.0,0.0,0.0,765.4373824019225,92.0,267.0,3.0,0.0,0.0,0.0,0.0,0.0,414.0,188.0,30.0,3.0,0.0,201.0,0.0,414.0,0.0,0.0,1.0
0.0,255.0,1.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,788.258696840136,0.0,0.0,3.0,0.0,0.0,0.0,0.0,389.0,389.0,255.0,28.0,3.0,0.0,134.0,0.0,389.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,40.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,1.0
0.0,735.0,0.0,203.0,509.0,173.0,509.0,173.0,231.0,1013.0,0.0,303.0,0.0,945.5684625756128,173.0,0.0,2.0,0.0,1.0,1.0,202.0,0.0,231.0,734.0,113.0,2.0,1013.0,201.0,0.0,1244.0,0.0,0.0,1.0
0.0,56.0,0.0,0.0,547.0,463.0,547.0,413.0,0.0,0.0,0.0,0.0,1.0,730.1300923602863,413.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,603.0,5.0,74.0,1.0,0.0,201.0,0.0,603.0,1.0,0.0,1.0
0.0,747.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,869.2314375616088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,881.0,747.0,108.0,1.0,0.0,134.0,0.0,881.0,0.0,0.0,1.0
0.0,537.0,0.0,0.0,386.0,198.0,386.0,198.0,0.0,0.0,0.0,0.0,0.0,869.2314375616089,198.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,923.0,536.0,113.0,1.0,0.0,201.0,0.0,923.0,0.0,0.0,1.0
0.0,677.0,1.0,0.0,263.0,129.0,263.0,129.0,0.0,0.0,0.0,0.0,1.0,926.0073359137072,129.0,0.0,2.0,156.0,0.0,0.0,0.0,231.0,940.0,677.0,85.0,2.0,0.0,201.0,0.0,940.0,1.0,0.0,1.0
0.0,370.0,0.0,0.0,253.0,119.0,253.0,119.0,0.0,0.0,0.0,0.0,0.0,826.0282440535424,119.0,0.0,2.0,247.0,1.0,0.0,0.0,0.0,623.0,370.0,57.0,2.0,0.0,201.0,0.0,623.0,0.0,0.0,1.0
0.0,97.0,0.0,0.0,134.0,0.0,134.0,0.0,231.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,97.0,28.0,1.0,0.0,134.0,0.0,231.0,1.0,0.0,1.0
0.0,1166.0,0.0,325.0,459.0,0.0,459.0,0.0,0.0,1625.0,210.0,325.0,0.0,1084.9357846450434,0.0,210.0,3.0,0.0,0.0,1.0,325.0,0.0,0.0,1166.0,117.0,3.0,1625.0,134.0,0.0,1625.0,0.0,0.0,1.0
0.0,97.0,0.0,0.0,134.0,0.0,134.0,0.0,231.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,97.0,28.0,1.0,0.0,134.0,0.0,231.0,1.0,0.0,1.0
0.0,714.0,1.0,0.0,436.0,250.0,436.0,250.0,0.0,0.0,0.0,0.0,1.0,1029.4897706171243,250.0,0.0,7.0,523.0,0.0,0.0,0.0,294.0,1150.0,714.0,46.0,7.0,0.0,279.0,1.0,1150.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,100.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9.0,2.0,0.0,100.0,0.0,100.0,0.0,0.0,1.0
0.0,152.0,0.0,0.0,471.0,337.0,471.0,337.0,0.0,0.0,2.0,0.0,1.0,761.6452408870326,337.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,623.0,151.0,76.0,1.0,0.0,201.0,0.0,623.0,1.0,0.0,1.0
0.0,647.0,1.0,246.0,910.0,417.0,910.0,417.0,0.0,1231.0,0.0,274.0,0.0,958.3204150285828,417.0,0.0,5.0,0.0,0.0,1.0,246.0,326.0,326.0,647.0,80.0,5.0,1231.0,162.0,0.0,1557.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,231.0,417.0,551.0,97.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,417.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,231.0,0.0,28.0,1.0,0.0,0.0,0.0,231.0,1.0,0.0,1.0
0.0,97.0,0.0,0.0,134.0,0.0,134.0,0.0,231.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,97.0,28.0,1.0,0.0,134.0,0.0,231.0,1.0,0.0,1.0
0.0,898.0,0.0,260.0,398.0,0.0,398.0,0.0,0.0,1296.0,0.0,259.0,0.0,1011.3041718713245,0.0,0.0,4.0,0.0,0.0,1.0,259.0,0.0,0.0,900.0,78.0,4.0,1296.0,139.0,0.0,1296.0,0.0,0.0,1.0
0.0,267.0,0.0,0.0,483.0,348.0,483.0,349.0,0.0,0.0,0.0,0.0,0.0,798.594035706463,349.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,750.0,268.0,92.0,1.0,0.0,201.0,0.0,750.0,0.0,0.0,1.0
